Index;Pagamento;Saiu;Período;Pago;Ativo;Prazo
0;Maquininha;-R$ 300,00;11/01/2022;Sim;Não;Não
1;Chronic;-R$ 1.067,20;11/01/2022;Sim;Sim;Não
2;Fato;-R$ 748,00;07/02/2022;Sim;Sim;Não
3;Fato;-R$ 840,00;14/02/2022;Sim;Sim;Não
4;Fato;-R$ 902,00;21/02/2022;Sim;Sim;Não
5;Das;-R$ 61,60;21/02/2022;Sim;Não;Não
6;Tênis mormaii;-R$ 1.165,92;25/02/2022;Sim;Sim;Sim
7;Fato;-R$ 428,00;02/03/2022;Sim;Sim;Não
8;Boné Tommy e oakley;-R$ 117,00;05/03/2022;Sim;Sim;Não
9;Bag;-R$ 181,00;12/03/2022;Sim;Sim;Não
10;grs;-R$ 648,00;14/03/2022;Sim;Sim;Não
11;Fato;-R$ 408,00;14/03/2022;Sim;Sim;Não
12;Das;-R$ 61,60;21/03/2022;Sim;Não;Não
13;Vitrine;-R$ 100,00;22/03/2022;Sim;Sim;Não
14;Boné Tommy;-R$ 224,17;24/03/2022;Sim;Sim;Não
15;Camiseta cyclone;-R$ 208,17;24/03/2022;Sim;Sim;Não
16;Tênis mormaii;-R$ 1.165,92;30/03/2022;Sim;Sim;Sim
17;Tênis velluti;-R$ 1.606,20;13/04/2022;Sim;Sim;Sim
18;Tênis mormaii;-R$ 1.165,92;29/04/2022;Sim;Sim;Sim
19;Tênis velluti;-R$ 1.606,20;13/05/2022;Sim;Sim;Sim
20;Tênis mormaii;-R$ 1.165,92;29/05/2022;Sim;Sim;Sim
21;Tênis velluti;-R$ 1.606,20;12/06/2022;Não;Sim;Sim
22;Fato;-R$ 884,00;28/03/2022;Sim;Sim;Não
23;Moletim;-R$ 295,66;02/04/2022;Sim;Sim;Não
24;Fato;-R$ 430,50;11/04/2022;Sim;Sim;Não
25;Tênis mizuno;-R$ 759,96;08/05/2022;Sim;Sim;Sim
26;Tênis mizuno;-R$ 759,96;07/06/2022;Sim;Sim;Sim
27;Tênis mizuno;-R$ 759,96;07/07/2022;Não;Sim;Sim
28;Moletim;-R$ 279,00;16/04/2022;Sim;Sim;Não
29;Das;-R$ 61,60;20/04/2022;Sim;Não;Não
30;Bobojaco;-R$ 530,00;22/04/2022;Sim;Sim;Não
31;Moletom;-R$ 433,30;22/04/2022;Sim;Sim;Não
32;Manga longa Lacoste;-R$ 262,00;26/04/2022;Sim;Sim;Não
33;Adidas;-R$ 2.237,00;29/04/2022;Sim;Sim;Não
34;Moletom;-R$ 740,00;29/04/2022;Sim;Sim;Não
35;Camiseta lacoste;-R$ 675,00;29/04/2022;Sim;Sim;Não
36;Frete;-R$ 110,00;29/04/2022;Sim;Sim;Não
37;Fato;-R$ 1.680,00;02/05/2022;Sim;Sim;Não
38;Snoway;-R$ 673,22;02/05/2022;Sim;Sim;Não
39;Bobojaco;-R$ 680,00;02/05/2022;Sim;Sim;Não
40;Frete;-R$ 55,00;02/05/2022;Sim;Sim;Não
41;Bobojaco;-R$ 530,00;06/05/2022;Sim;Sim;Não
42;Frete;-R$ 45,00;05/05/2022;Sim;Sim;Não
43;Frete;-R$ 80,00;07/05/2022;Sim;Sim;Não
44;Moletom;-R$ 390,00;09/05/2022;Sim;Sim;Não
45;Bobojaco;R$ 700,00;10/05/2022;Sim;Sim;Não
46;Frete;-R$ 30,00;12/05/2022;Sim;Sim;Não
47;Moletom;-R$ 650,00;15/05/2022;Sim;Sim;Não
48;Bobojaco;-R$ 1.220,00;17/05/2022;Sim;Sim;Não
49;Calça cargo;-R$ 778,00;17/05/2022;Sim;Sim;Não
50;Fato;-R$ 1.272,00;16/05/2022;Sim;Sim;Não
51;Frete;-R$ 45,00;18/05/2022;Sim;Sim;Não
52;Frete;-R$ 40,00;19/05/2022;Sim;Sim;Não
53;Das;-R$ 61,60;20/05/2022;Sim;Não;Não
54;Calça cargo;-R$ 731,00;23/05/2022;Sim;Sim;Não
55;Snoway;-R$ 711,82;23/05/2022;Sim;Sim;Não
56;Bobojaco;-R$ 2.780,00;25/05/2022;Sim;Sim;Não
57;Frete;-R$ 45,00;25/05/2022;Sim;Sim;Não
58;Tênis mizuno;-R$ 339,80;25/05/2022;Sim;Sim;Sim
59;Bota fem;-R$ 720,00;26/05/2022;Sim;Sim;Não
60;Frete;-R$ 36,00;27/05/2022;Sim;Sim;Não
61;Adidas;-R$ 577,70;27/05/2022;Sim;Sim;Não
62;Frete;-R$ 65,00;28/05/2022;Sim;Sim;Não
63;Frete;-R$ 16,40;30/05/2022;Sim;Sim;Não
64;Moletom;-R$ 560,00;30/05/2022;Sim;Sim;Não
65;Nike air;-R$ 1.220,00;30/05/2022;Sim;Sim;Não
66;Fato;-R$ 840,00;30/05/2022;Sim;Sim;Não
67;Prolabore;-R$ 2.943,03;30/05/2022;Sim;Não;Não
68;Frete;-R$ 55,00;01/06/2022;Sim;Sim;Não
69;Boné Tommy;-R$ 162,00;03/06/2022;Sim;Sim;Não
70;Moletom;-R$ 700,00;06/06/2022;Sim;Sim;Não
71;Calça;-R$ 836,00;08/06/2022;Sim;Sim;Não
63;Frete;-R$ 35,00;07/06/2022;Sim;Sim;Não
64;Moletom;-R$ 888,00;06/06/2022;Sim;Sim;Não
65;Manequim;-R$ 396,00;06/06/2022;Sim;Sim;Não
66;Frete;-R$ 30,00;09/06/2022;Sim;Sim;Não
67;Adeviso;-R$ 75,00;10/06/2022;Sim;Sim;Não
68;Frete;-R$ 55,00;11/06/2022;Sim;Sim;Não
